OBJECTID,AggBridgeID,BeneficialUseCV,AggregatedAmountID
1,161161,Agricultural Consumptive Use,397634
2,161162,Agricultural Consumptive Use,397641
3,161163,Agricultural Consumptive Use,397645
4,161164,Agricultural Consumptive Use,397646
5,161165,Agricultural Consumptive Use,397652
6,161166,Agricultural Consumptive Use,397655
7,161167,Agricultural Consumptive Use,397658
8,161168,Agricultural Consumptive Use,397662
9,161169,Agricultural Consumptive Use,397669
10,161170,Agricultural Consumptive Use,397673
11,161171,Agricultural Consumptive Use,397676
12,161172,Agricultural Consumptive Use,397680
13,161173,Agricultural Consumptive Use,397683
14,161174,Agricultural Consumptive Use,397688
15,161175,Agricultural Consumptive Use,397690
16,161176,Agricultural Consumptive Use,397697
17,161177,Agricultural Consumptive Use,397698
18,161178,Agricultural Consumptive Use,397705
19,161179,Agricultural Consumptive Use,397710
20,161180,Agricultural Consumptive Use,397713
21,161181,Agricultural Consumptive Use,397715
22,161182,Agricultural Consumptive Use,397719
23,161183,Agricultural Consumptive Use,397723
24,161184,Agricultural Consumptive Use,397727
25,161185,Agricultural Consumptive Use,397730
26,161186,Agricultural Consumptive Use,397736
27,161187,Agricultural Consumptive Use,397741
28,161188,Agricultural Consumptive Use,397744
29,161189,Agricultural Consumptive Use,397748
30,161190,Agricultural Consumptive Use,397751
31,161191,Agricultural Consumptive Use,397755
32,161192,Agricultural Consumptive Use,397761
33,161193,Agricultural Consumptive Use,397762
34,161194,Agricultural Consumptive Use,397767
35,161195,Agricultural Consumptive Use,397773
36,161196,Agricultural Consumptive Use,397774
37,161197,Agricultural Consumptive Use,397778
38,161198,Agricultural Consumptive Use,397784
39,161199,Agricultural Consumptive Use,397786
40,161200,Agricultural Consumptive Use,397790
41,161201,Agricultural Consumptive Use,397797
42,161202,Agricultural Consumptive Use,397801
43,161203,Agricultural Consumptive Use,397805
44,161204,Agricultural Consumptive Use,397807
45,161205,Agricultural Consumptive Use,397811
46,161206,Agricultural Consumptive Use,397818
47,161207,Agricultural Consumptive Use,397819
48,161208,Agricultural Consumptive Use,397822
49,161209,Agricultural Consumptive Use,397826
50,161210,Agricultural Consumptive Use,397833
51,161211,Agricultural Consumptive Use,397835
52,161212,Agricultural Consumptive Use,397840
53,161213,Agricultural Consumptive Use,397844
54,161214,Agricultural Consumptive Use,397849
55,161215,Agricultural Consumptive Use,397850
56,161216,Agricultural Consumptive Use,397854
57,161217,Agricultural Consumptive Use,397858
58,161218,Agricultural Consumptive Use,397862
59,161219,Agricultural Consumptive Use,397866
60,161220,Agricultural Consumptive Use,397870
61,161221,Agricultural Consumptive Use,397875
62,161222,Agricultural Consumptive Use,397878
63,161223,Agricultural Consumptive Use,397882
64,161224,Agricultural Consumptive Use,397886
65,161225,Agricultural Consumptive Use,397890
66,161226,Agricultural Consumptive Use,397895
67,161227,Agricultural Consumptive Use,397898
68,161228,Agricultural Consumptive Use,397902
69,161229,Agricultural Consumptive Use,397906
70,161230,Agricultural Consumptive Use,397910
71,161231,Agricultural Consumptive Use,397915
72,161232,Agricultural Consumptive Use,397918
73,161233,Agricultural Consumptive Use,397924
74,161234,Agricultural Consumptive Use,397931
75,161235,Agricultural Consumptive Use,397932
76,161236,Agricultural Consumptive Use,397936
77,161237,Agricultural Consumptive Use,397942
78,161238,Agricultural Consumptive Use,397947
79,161239,Agricultural Consumptive Use,397949
80,161240,Agricultural Consumptive Use,397956
81,161241,Agricultural Consumptive Use,397961
82,161242,Agricultural Consumptive Use,397963
83,161243,Agricultural Consumptive Use,397968
84,161244,Agricultural Consumptive Use,397973
85,161245,Agricultural Consumptive Use,397976
