OBJECTID,AggregatedAmountID,OrganizationID,ReportingUnitID,VariableSpecificID,PrimaryUseCategoryCV,WaterSourceID,MethodID,TimeframeStartID,TimeframeEndID,DataPublicationDateID,DataPublicationDOI,ReportYearCV,Amount,PopulationServed,PowerGeneratedGWh,IrrigatedAcreage,InterbasinTransferToID,InterbasinTransferFromID,CropTypeCV,IrrigationMethodCV,CustomerTypeCV,SDWISIdentifierCV,CommunityWaterSupplySystem,AllocationCropDutyAmount,PowerType
1,10135,3,401,61,Agriculture,338413,36,29,44,36,,2005,9.966398106000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
2,10136,3,401,61,Agriculture,338413,36,6,28,36,,2006,10.151444489999999,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
3,10137,3,401,61,Agriculture,338413,36,33,26,36,,2007,11.710190940000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
4,10138,3,401,61,Agriculture,338413,36,27,40,36,,2008,12.083985630000001,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
5,10139,3,401,61,Agriculture,338413,36,38,31,36,,2009,11.977529160000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
6,10140,3,401,61,Agriculture,338413,36,25,43,36,,2010,11.863235520000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
7,10141,3,401,61,Agriculture,338413,36,39,32,36,,2011,3.197267428000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
8,10142,3,401,61,Agriculture,338413,36,8,30,36,,2012,3.967543140000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
9,10143,3,401,61,Agriculture,338413,36,1,42,36,,2013,3.857049535000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
10,10144,3,401,61,Agriculture,338413,36,37,34,36,,2014,4.127199298000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
11,10145,3,402,61,Agriculture,338413,36,29,44,36,,2005,33.465246290000003,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
12,10146,3,402,61,Agriculture,338413,36,6,28,36,,2006,34.086596409999999,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
13,10147,3,402,61,Agriculture,338413,36,33,26,36,,2007,39.320566960000001,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
14,10148,3,402,61,Agriculture,338413,36,27,40,36,,2008,40.575697570000003,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
15,10149,3,402,61,Agriculture,338413,36,38,31,36,,2009,40.218237240000001,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
16,10150,3,402,61,Agriculture,338413,36,25,43,36,,2010,39.834461179999998,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
17,10151,3,402,61,Agriculture,338413,36,39,32,36,,2011,40.670782170000003,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
18,10152,3,402,61,Agriculture,338413,36,8,30,36,,2012,50.469060360000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
19,10153,3,402,61,Agriculture,338413,36,1,42,36,,2013,49.063528460000001,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
20,10154,3,402,61,Agriculture,338413,36,37,34,36,,2014,52.499963600000008,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
21,10155,3,403,61,Agriculture,338413,36,29,44,36,,2005,143.554069800000008,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
22,10156,3,403,61,Agriculture,338413,36,6,28,36,,2006,146.219445100000002,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
23,10157,3,403,61,Agriculture,338413,36,33,26,36,,2007,168.671322500000002,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
24,10158,3,403,61,Agriculture,338413,36,27,40,36,,2008,174.055387000000024,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
25,10159,3,403,61,Agriculture,338413,36,38,31,36,,2009,172.522000499999990,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
26,10160,3,403,61,Agriculture,338413,36,25,43,36,,2010,170.875744900000001,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
27,10161,3,403,61,Agriculture,338413,36,39,32,36,,2011,144.996493600000008,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
28,10162,3,403,61,Agriculture,338413,36,8,30,36,,2012,179.928611599999982,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
29,10163,3,403,61,Agriculture,338413,36,1,42,36,,2013,174.917700999999994,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
30,10164,3,403,61,Agriculture,338413,36,37,34,36,,2014,187.169030099999986,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
31,10165,3,404,61,Agriculture,338413,36,29,44,36,,2005,920.134224700000118,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
32,10166,3,404,61,Agriculture,338413,36,6,28,36,,2006,937.218393999999989,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
33,10167,3,404,61,Agriculture,338413,36,33,26,36,,2007,1081.127521999999999,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
34,10168,3,404,61,Agriculture,338413,36,27,40,36,,2008,1115.637654999999995,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
35,10169,3,404,61,Agriculture,338413,36,38,31,36,,2009,1105.809164000000010,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
36,10170,3,404,61,Agriculture,338413,36,25,43,36,,2010,1095.257162999999991,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
37,10171,3,404,61,Agriculture,338413,36,39,32,36,,2011,929.379767700000116,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
38,10172,3,404,61,Agriculture,338413,36,8,30,36,,2012,1153.283164000000170,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
39,10173,3,404,61,Agriculture,338413,36,1,42,36,,2013,1121.164872000000059,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
40,10174,3,404,61,Agriculture,338413,36,37,34,36,,2014,1199.691857000000027,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
41,10175,3,405,61,Agriculture,338413,36,29,44,36,,2005,3466.130510999999842,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
42,10176,3,405,61,Agriculture,338413,36,6,28,36,,2006,3586.001115999999456,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
43,10177,3,405,61,Agriculture,338413,36,33,26,36,,2007,3916.996434000000136,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
44,10178,3,405,61,Agriculture,338413,36,27,40,36,,2008,3659.794602000000395,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
45,10179,3,405,61,Agriculture,338413,36,38,31,36,,2009,3667.952259000000140,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
46,10180,3,405,61,Agriculture,338413,36,25,43,36,,2010,3695.140131999999994,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
47,10181,3,405,61,Agriculture,338413,36,39,32,36,,2011,3437.382649000000129,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
48,10182,3,405,61,Agriculture,338413,36,8,30,36,,2012,3943.475756000000274,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
49,10183,3,405,61,Agriculture,338413,36,1,42,36,,2013,3845.441107999999986,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
50,10184,3,405,61,Agriculture,338413,36,37,34,36,,2014,3998.892777000000478,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
51,10185,3,406,61,Agriculture,338413,36,29,44,36,,2005,565.486334100000022,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
52,10186,3,406,61,Agriculture,338413,36,6,28,36,,2006,575.985800999999924,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
53,10187,3,406,61,Agriculture,338413,36,33,26,36,,2007,664.427952200000050,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,
