OBJECTID,SN_ID,WBenUse
1,00-168,Other
2,00-170,Other
3,00-1790,Agricultural
4,00-1790,Domestic
5,00-1790,StockWatering
6,00-641,Other
7,01-104,Agricultural
8,01-1055,StockWatering
9,01-1056,StockWatering
10,01-1056,Other
11,01-1059,StockWatering
12,01-1059,Other
13,01-106,Agricultural
14,01-106,Other
15,01-106,Domestic
16,01-1060,Other
17,01-1060,StockWatering
18,01-1061,Other
19,01-1061,StockWatering
20,01-1062,Other
21,01-1062,StockWatering
22,01-1063,Other
23,01-1063,StockWatering
24,01-1064,Other
25,01-1064,StockWatering
26,01-1065,StockWatering
27,01-107,Other
28,01-107,Domestic
29,01-107,Agricultural
30,01-1070,Domestic
31,01-1072,Mining
32,01-1073,Other
33,01-1075,StockWatering
34,01-1075,Agricultural
35,01-1075,Domestic
36,01-1076,Other
37,01-1077,StockWatering
38,01-1078,Agricultural
39,01-1078,Domestic
40,01-1079,Other
41,01-108,Mining
42,01-1080,Other
43,01-1081,Other
44,01-1082,Other
45,01-1083,StockWatering
46,01-1084,Other
47,01-1085,StockWatering
48,01-1086,Other
49,01-1087,StockWatering
50,01-1089,Other
51,01-109,Mining
52,01-1090,Agricultural
53,01-1090,Other
54,01-1090,Domestic
55,01-1091,Other
56,01-1092,Other
57,01-1093,Other
58,01-1094,Agricultural
59,01-1095,Other
60,01-1096,Other
61,01-1097,Domestic
62,01-1097,Agricultural
63,01-1098,StockWatering
64,01-1098,Other
65,01-1099,Other
66,01-110,Mining
67,01-1100,Other
68,01-1101,Agricultural
69,01-1102,Other
70,01-1104,Domestic
71,01-1104,StockWatering
72,01-1104,Agricultural
73,01-1105,Other
74,01-1106,Agricultural
75,01-1106,Domestic
76,01-1107,Domestic
77,01-1107,Agricultural
78,01-1107,Other
79,01-1108,Other
80,01-1109,Other
81,01-1110,Other
82,01-1111,StockWatering
83,01-1112,StockWatering
84,01-1113,StockWatering
85,01-1114,Other
86,01-1115,StockWatering
87,01-1115,Agricultural
88,01-1115,Domestic
89,01-1116,Other
90,01-1117,Domestic
91,01-1117,StockWatering
92,01-1117,Agricultural
93,01-1118,Other
94,01-1119,Other
95,01-112,Other
96,01-1120,Agricultural
97,01-1120,Domestic
98,01-1121,Other
99,01-1121,Agricultural
100,01-1122,Domestic
101,01-1122,StockWatering
102,01-1122,Agricultural
103,01-1123,Other
104,01-1123,Agricultural
105,01-1124,Agricultural
106,01-1125,Domestic
107,01-1125,Agricultural
108,01-1125,StockWatering
109,01-1126,Agricultural
110,01-1126,StockWatering
111,01-1126,Domestic
112,01-1127,Other
113,01-1127,Agricultural
114,01-1127,Domestic
115,01-1128,Agricultural
116,01-1129,Agricultural
117,01-1129,StockWatering
118,01-1129,Domestic
119,01-113,Mining
120,01-1130,Domestic
121,01-1130,Agricultural
122,01-1130,StockWatering
123,01-1131,Other
124,01-1132,StockWatering
125,01-1133,Agricultural
126,01-1134,Domestic
127,01-1134,Agricultural
128,01-1135,Agricultural
129,01-1135,Domestic
130,01-1136,Domestic
131,01-1136,Agricultural
132,01-1136,StockWatering
133,01-1137,Other
134,01-1138,Domestic
135,01-1138,Other
136,01-1139,Mining
137,01-1139,Other
138,01-114,Domestic
139,01-114,Other
140,01-1140,Agricultural
141,01-1140,Domestic
142,01-1140,StockWatering
143,01-1141,StockWatering
144,01-1141,Other
145,01-1142,Agricultural
146,01-1143,Other
147,01-1144,Agricultural
148,01-1145,StockWatering
149,01-1145,Agricultural
150,01-1145,Domestic
151,01-1146,Domestic
152,01-1146,Agricultural
153,01-1147,Other
154,01-1148,Agricultural
155,01-1149,Agricultural
156,01-1150,Other
157,01-1151,Other
158,01-1152,Other
159,01-1152,Agricultural
160,01-1152,Domestic
161,01-1153,Agricultural
162,01-1153,Domestic
163,01-1153,Other
164,01-1154,Other
165,01-1154,Mining
166,01-1155,Other
167,01-1156,Mining
168,01-1156,Other
169,01-1157,Other
170,01-1158,Other
171,01-1159,Other
172,01-1160,Agricultural
173,01-1161,Other
174,01-1162,Other
175,01-1163,Agricultural
176,01-1163,StockWatering
177,01-1163,Other
178,01-1164,Other
179,01-1166,Domestic
180,01-1166,Agricultural
181,01-1167,Other
182,01-1168,StockWatering
183,01-1169,Agricultural
184,01-1169,Domestic
185,01-1170,Other
186,01-1170,Domestic
187,01-1171,Agricultural
188,01-1171,StockWatering
189,01-1172,Other
190,01-1173,Other
191,01-1174,Domestic
192,01-1175,Other
193,01-1176,Other
194,01-1177,Other
195,01-1178,Agricultural
196,01-1178,StockWatering
197,01-1178,Domestic
198,01-1179,StockWatering
199,01-1179,Agricultural
200,01-1179,Domestic
201,01-118,Other
202,01-1180,Agricultural
203,01-1181,Agricultural
204,01-1181,Domestic
205,01-1181,StockWatering
206,01-1182,Domestic
207,01-1182,Agricultural
208,01-1182,Other
209,01-1183,Other
210,01-1184,StockWatering
211,01-1184,Agricultural
212,01-1185,Domestic
213,01-1185,Other
214,01-1185,Agricultural
215,01-1186,Other
216,01-1186,Agricultural
217,01-1186,Domestic
218,01-1187,Domestic
219,01-1187,Agricultural
220,01-1187,Other
221,01-1188,StockWatering
222,01-1189,Agricultural
223,01-1189,Domestic
224,01-119,Other
225,01-1190,Other
226,01-1191,Other
227,01-1192,Other
228,01-1193,Other
229,01-1194,Agricultural
230,01-1194,Other
231,01-1195,Other
232,01-1196,StockWatering
233,01-1196,Agricultural
234,01-1197,Other
235,01-1198,Agricultural
236,01-1199,Agricultural
237,01-1199,StockWatering
238,01-120,Other
239,01-1200,Municipal
240,01-1201,Other
241,01-1202,Other
242,01-1203,Domestic
243,01-1203,Agricultural
244,01-1204,Agricultural
245,01-1204,Domestic
246,01-1205,Agricultural
247,01-1205,StockWatering
248,01-1206,Agricultural
249,01-1207,Domestic
250,01-1207,Agricultural
251,01-1207,StockWatering
252,01-1208,Other
253,01-1209,Other
254,01-121,Other
255,01-1210,Agricultural
256,01-1210,Domestic
257,01-1211,Other
258,01-1212,Agricultural
259,01-1212,Other
260,01-1213,StockWatering
261,01-123,Other
262,01-123,StockWatering
263,01-124,Other
264,01-124,StockWatering
265,01-125,Other
266,01-125,StockWatering
267,01-132,Other
268,01-132,StockWatering
269,01-134,Agricultural
270,01-141,Agricultural
271,01-141,StockWatering
272,01-142,Other
273,01-142,StockWatering
274,01-143,Other
275,01-143,StockWatering
276,01-144,StockWatering
277,01-144,Other
278,01-145,Other
279,01-145,StockWatering
280,01-166,Domestic
281,01-166,Other
282,01-167,Agricultural
283,01-167,Other
284,01-167,StockWatering
285,01-168,Domestic
286,01-168,StockWatering
287,01-173,Mining
288,01-175,Agricultural
289,01-180,Domestic
290,01-190,Mining
291,01-223,Agricultural
292,01-224,Agricultural
293,01-224,Domestic
294,01-224,StockWatering
295,01-227,Domestic
296,01-229,Other
297,01-229,StockWatering
298,01-230,Other
299,01-230,StockWatering
300,01-231,Other
301,01-231,StockWatering
302,01-232,StockWatering
303,01-232,Other
304,01-233,Other
305,01-233,StockWatering
